trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
71,0.604736,chroma_only,9,True,0.85,,200.32980001997203,0.63,0.5996875,0.6127411627315404,0.1575000000000003,0.5825,1,120,40,26,140,103
72,0.604652,chroma_only,9,True,0.85,,198.98799993097782,0.63,0.5996875,0.6127411627315404,0.15833333333333363,0.5825,1,120,40,26,140,98
73,0.604911,chroma_only,9,True,0.85,,195.54919993970543,0.63,0.6,0.6130291919347597,0.15694444444444475,0.5825,1,120,40,26,140,114
74,0.604911,chroma_only,9,True,0.85,,201.3796999817714,0.63,0.6,0.6130291919347597,0.15694444444444475,0.5825,1,120,40,26,140,114
75,0.604076,chroma_only,9,True,0.85,,202.1982999285683,0.63,0.5978125,0.611317854126724,0.1575000000000003,0.5825,1,120,40,26,140,113
76,0.605023,chroma_only,9,True,0.85,,202.40609999746084,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,120,40,26,140,121
77,0.605023,chroma_only,9,True,0.85,,199.22259997110814,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,120,40,26,140,121
78,0.605078,chroma_only,9,True,0.85,,191.4896999951452,0.63,0.6,0.6130291919347597,0.15527777777777804,0.5825,1,120,40,26,120,122
79,0.602384,chroma_only,9,True,0.85,,205.76789998449385,0.6275,0.5975,0.6105291919347597,0.1572222222222225,0.5825,1,120,40,26,120,128
80,0.597495,chroma_only,9,True,0.85,,203.2359999138862,0.6225,0.5925,0.6055291919347597,0.15611111111111142,0.5825,1,120,52,26,120,122
81,0.603434,chroma_only,9,True,0.85,,197.78509996831417,0.63,0.5959821428571428,0.6099392166632766,0.1575000000000003,0.5825,1,120,40,26,120,132
82,0.604967,chroma_only,9,True,0.85,,189.30299999192357,0.63,0.6,0.6130291919347597,0.1563888888888892,0.5825,1,120,40,26,120,116
83,0.603434,chroma_only,9,True,0.85,,190.18130004405975,0.63,0.5959821428571428,0.6099392166632766,0.1575000000000003,0.5825,1,120,40,26,120,140
84,0.605023,chroma_only,9,True,0.85,,191.53740000911057,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,120
85,0.605023,chroma_only,9,True,0.85,,190.30109990853816,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,121
86,0.597495,chroma_only,9,True,0.85,,193.44930001534522,0.6225,0.5925,0.6055291919347597,0.1561111111111114,0.5825,1,112,48,26,120,122
87,0.602550,chroma_only,9,True,0.9,,195.97360002808273,0.6275,0.5975,0.6105291919347597,0.15555555555555586,0.5825,1,112,40,26,120,116
88,0.605023,chroma_only,9,True,0.85,,193.2307000970468,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,120
89,0.603462,chroma_only,9,True,0.85,,195.37629990372807,0.63,0.5959821428571428,0.6099392166632766,0.1572222222222225,0.5825,1,112,40,26,120,134
90,0.605023,chroma_only,9,True,0.85,,189.28529997356236,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,120
91,0.605023,chroma_only,9,True,0.85,,187.7911000046879,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,120
92,0.602467,chroma_only,9,True,0.85,,195.82749996334314,0.6275,0.5975,0.6105291919347597,0.15638888888888916,0.5825,1,112,40,26,120,126
93,0.605023,chroma_only,9,True,0.85,,193.8104999717325,0.63,0.6,0.6130291919347597,0.1558333333333336,0.5825,1,112,40,26,120,120
94,0.597411,chroma_only,9,True,0.85,,194.3193000042811,0.6225,0.5925,0.6055291919347597,0.15694444444444475,0.5825,1,112,52,26,120,119
95,0.603462,chroma_only,9,True,0.85,,191.92810007371008,0.63,0.5959821428571428,0.6099392166632766,0.1572222222222225,0.5825,1,112,40,26,120,130
