trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall_at_k,mrr,ndcg,dup_rate,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
58,0.880677,chroma_only,9,True,0.7,,184.25185999949463,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,160,64,24,160,80
59,0.880677,chroma_only,9,True,0.7,,214.4257799955085,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,130,48,32,100,60
60,0.880677,chroma_only,9,True,0.65,,186.83698000386357,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,150,80,24,120,140
61,0.880677,chroma_only,9,True,0.65,,211.6207800048869,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,180,56,32,160,80
62,0.880677,chroma_only,9,True,0.65,,208.11225999495946,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,180,56,32,160,80
63,0.880677,chroma_only,9,True,0.65,,212.90597999468446,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,180,56,32,160,80
64,0.880677,chroma_only,9,True,0.65,,202.0771400013473,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,180,56,36,160,80
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,0.876325,baseline,8,True,0.7,140,174.52030000276864,0.8808333333333331,0.8647222222222222,0.8744049444959853,0.0,0.8841666666666667,2,130,40,24,140,140
68,0.880677,chroma_only,9,True,0.65,,176.7319199978374,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,160,88,40,100,100
69,0.880677,chroma_only,9,True,0.7,,169.79390000342391,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,28,160,60
70,,,,,,,,,,,,,,,,,,
71,0.880677,chroma_only,9,True,0.7,,155.59774001012556,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
72,0.880677,chroma_only,9,True,0.7,,154.91645999718457,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
73,0.880677,chroma_only,9,True,0.7,,154.50933999964036,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
74,,,,,,,,,,,,,,,,,,
75,0.880677,chroma_only,9,True,0.7,,132.63465999625623,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,160,96,20,100,80
76,0.876325,baseline,9,True,0.7,240,156.2164400005713,0.8808333333333331,0.8647222222222222,0.8744049444959853,0.0,0.8841666666666667,2,120,64,24,160,140
77,0.880677,chroma_only,8,True,0.7,,167.74968000827357,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,150,80,32,100,80
78,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,
