trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.575000,baseline,8,True,0.5,280,783.9578000130132,0.575,0.50625,0.5234940685729168,0.0,0.6,3,160,104,28,200,80
1,0.705000,chroma_only,9,True,0.8,,1155.1561000524089,0.705,0.69,0.6937449822391119,0.0,0.6,2,120,97,36,120,100
2,0.580000,baseline,12,True,0.5,300,740.2689000591636,0.58,0.49297222222222215,0.5133796368289748,0.0,0.6,1,180,36,40,96,68
3,0.570000,baseline,9,True,0.0,100,745.3476999653503,0.57,0.49976984126984125,0.5169828201601373,0.0,0.6,1,60,47,20,100,140
4,0.700000,chroma_only,9,False,0.0,,77.65160000417382,0.7,0.6891666666666667,0.6919639463035719,0.0,0.6,1,140,77,48,200,80
5,0.700000,chroma_only,5,False,0.30000000000000004,,80.13559994287789,0.7,0.6891666666666667,0.6919639463035719,0.0,0.6,2,200,74,16,180,80
6,0.565000,baseline,5,False,0.4,300,40.71700002532452,0.565,0.5045833333333334,0.5199319967018365,0.0,0.6,2,120,84,32,160,140
7,0.695000,chroma_only,5,False,0.8,,66.52630004100502,0.695,0.6841666666666667,0.6869639463035719,0.0,0.6,2,100,84,24,120,40
8,0.630000,chroma_only,12,True,0.2,,889.1586000099778,0.63,0.5919705988455989,0.6003816782920469,0.0,0.6,1,160,46,48,116,48
9,0.585000,baseline,11,True,0.5,160,763.5049999225885,0.585,0.50725,0.5263847168360957,0.0,0.6,3,200,93,32,188,64
10,0.705000,chroma_only,7,True,0.8,,1044.5713999215513,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,80,104,40,240,120
11,0.705000,chroma_only,7,True,0.8,,1068.8287999946624,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,80,114,40,240,120
12,0.705000,chroma_only,7,True,0.7000000000000001,,1184.0830000583082,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,100,114,40,240,120
13,0.705000,chroma_only,10,True,0.6000000000000001,,830.7330999523401,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,2,60,100,36,140,160
